waste_type,waste_disposed_of_tonne,total_waste_recycled_tonne,total_waste_generated_tonne,recycling_rate,year
Food,679900,111100,791000,0.14,2016
Paper/Cardboard,576000,607100,1183100,0.51,2016
Plastics,762700,59500,822200,0.07,2016
C&D,9700,1585700,1595400,0.99,2016
Horticultural waste,111500,209000,320500,0.65,2016
Wood,119100,411600,530700,0.78,2016
Ferrous metal,6000,1351500,1357500,0.99,2016
Non-ferrous metal,1300,95900,97200,0.99,2016
Used slag,4100,247000,251100,0.98,2016
Ash & Sludge,199000,28300,227300,0.13,2016
Glass,57600,14700,72300,0.20,2016
Textile/Leather,139800,10900,150700,0.07,2016
Scrap tyres,3000,29700,32700,0.91,2016
"Others (stones, ceramics & rubber etc.)",375500,7000,382500,0.02,2016
Total,3045200,4769000,7814200,0.61,2016
Food,681400,104100,785500,0.13,2015
Paper/Cardboard,588500,603700,1192200,0.51,2015
Plastics,766800,57800,824600,0.07,2015
C&D,8900,1402900,1411800,0.99,2015
Horticultural waste,124800,237200,362000,0.66,2015
Wood,76900,293700,370600,0.79,2015
Ferrous metal,15200,1333300,1348500,0.99,2015
Non-ferrous metal,19600,160400,180000,0.89,2015
Used slag,4100,365800,369900,0.99,2015
Ash & Sludge,170800,25200,196000,0.13,2015
Glass,60600,14600,75200,0.19,2015
Textile/Leather,144200,12500,156700,0.08,2015
Scrap tyres,2700,32800,35500,0.92,2015
"Others (stones, ceramics & rubber etc)",359300,5700,365000,0.02,2015
Total,3023800,4649700,7673500,0.61,2015
Food,687200,101400,788600,0.13,2014
Paper/Cardboard,590800,646500,1237400,0.52,2014
Plastics,789000,80000,869000,0.09,2014
C&D,9700,1260000,1269700,0.99,2014
Horticultural waste,115300,163000,278300,0.59,2014
Wood,74500,293400,367900,0.80,2014
Ferrous metal,57000,1388900,1445900,0.96,2014
Non-ferrous metal,23700,94700,118400,0.80,2014
Used slag,5100,361200,366300,0.99,2014
Ash & Sludge,126800,21700,148500,0.15,2014
Glass,63800,15700,79500,0.20,2014
Textile/Leather,141800,16800,158600,0.11,2014
Scrap tyres,3100,23100,26200,0.88,2014
"Others (stones, ceramics & rubber etc)",355600,4700,360100,0.01,2014
Total,3043400,4471100,7514500,0.60,2014
Food waste,696000,100000,796000,0.13,2013
Paper/Cardboard,581700,679400,1261100,0.54,2013
Plastics,741100,91100,832200,0.11,2013
Construction Debris,12300,1683000,1695300,0.99,2013
Wood/Timber,77800,254600,332400,0.77,2013
Horticultural Waste,131700,120900,252600,0.48,2013
Ferrous Metal,46800,1369200,1416000,0.97,2013
Non-ferrous Metals,21100,114000,135100,0.84,2013
Used Slag,8900,344800,353700,0.97,2013
Sludge,176400,14200,190600,0.07,2013
Glass,58900,14600,73500,0.20,2013
Textile/Leather,140300,16300,156600,0.10,2013
Scrap Tyres,2600,19000,21600,0.88,2013
"Others (stones, ceramics & rubber etc)",330000,4800,334800,0.01,2013
Total,3025600,4825900,7851500,0.61,2013
Food waste,618100,85100,703200,0.12,2012
Paper/Cardboard,555300,696700,1252000,0.56,2012
Plastics,721300,82100,803400,0.10,2012
Construction Debris,9100,1282700,1291800,0.99,2012
Wood/Timber,107800,236000,343800,0.69,2012
Horticultural Waste,139800,108000,247800,0.44,2012
Ferrous Metal,54800,1331200,1386000,0.96,2012
Non-ferrous Metals,25200,97300,122500,0.79,2012
Used Slag,9800,358000,367800,0.97,2012
Sludge,160200,0,160200,0.00,2012
Glass,55400,19500,74900,0.26,2012
Textile/Leather,141000,18300,159300,0.11,2012
Scrap Tyres,2300,16100,18400,0.88,2012
"Others (stones, ceramics & rubber etc)",333800,4600,338400,0.01,2012
Total,2933900,4335600,7269500,0.60,2012
Food waste,605800,69700,675500,0.10,2011
Paper/Cardboard,603200,765000,1368200,0.56,2011
Plastics,656000,77000,733000,0.11,2011
Construction Debris,12600,1191100,1203700,0.99,2011
Wood/Timber,97400,176500,273900,0.64,2011
Horticultural Waste,149800,89000,238800,0.37,2011
Ferrous Metal,67600,1171600,1239200,0.95,2011
Non-ferrous Metals,14500,102800,117300,0.88,2011
Used Slag,5700,335900,341600,0.98,2011
Sludge,152900,0,152900,0.00,2011
Glass,51400,21400,72800,0.29,2011
Textile/Leather,113700,17300,131000,0.13,2011
Scrap Tyres,3700,18300,22000,0.83,2011
"Others (stones, ceramics & rubber etc)",325200,3200,328400,0.01,2011
Total,2859500,4038800,6898300,0.59,2011
Food waste,538100,102400,640500,0.16,2010
Paper/Cardboard,645700,738200,1383900,0.53,2010
Plastics,662300,78100,740400,0.11,2010
Construction Debris,9400,912400,921800,0.99,2010
Wood/Timber,80000,190000,270000,0.70,2010
Horticultural Waste,151800,99200,251000,0.40,2010
Ferrous Metal,67100,1127500,1194600,0.94,2010
