SKU,name,orderedQuantity,stockLevel,restockingLeadTime,sentimentScore,sentimentMagnitude
GGADFBSBKS42347,PC gaming speakers,0,100,1,,
GGOEGDWR015799,Red Shine 15 oz Mug,1058,1417,20,0.3,0.5
GGOEGODR017799,Recycled Mouse Pad,1033,1756,39,0.3,1.0
GGOEGBFC018799,Electronics Accessory Pouch,330,568,29,0.4,1.0
GGOENEBB078899, Cam Indoor Security Camera - USA,2139,2615,42,0.2,0.3
GGOEGOAQ020099,Four Color Retractable Pen,2002,2450,22,0.2,0.3
GGOEGOAR013099, Stylus Pen w/ LED Light,1100,2164,39,0.9,1.4
GGOEGCBQ016499,SPF-15 Slim & Slender Lip Balm,3682,4069,31,0.7,0.2
GGOEADHH055999,22 oz Android Bottle,597,738,4,0.2,0.4
GGOEGDHR082199, 25 oz Red Stainless Steel Bottle,221,341,30,0.5,0.8
GGOEGOAJ021599,Gunmetal Roller Ball Pen,740,1321,36,0.7,1.1
GGOEGOCB017499,Leatherette Journal,3071,4978,36,0.5,0.9
GGOEGDHC018299, 22 oz Water Bottle,10075,19678,4,0.9,1.3
GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,499,652,2,0.2,0.5
GGOBJGOWUSG69402,USB wired soundbar - in store only,10,15,2,1.0,1.0
GGOEGOAB022499,Satin Black Ballpoint Pen,403,477,2,0.1,0.3
GGOEYHPB072210, Twill Cap,1429,1997,2,0.3,0.6
GGOEYOLR018699, Leatherette Notebook Combo,1148,1276,2,0.1,0.2
GGOEGEVB071799, Pocket Bluetooth Speaker,214,246,2,0.9,0.2
GGOEGOXQ016399,Badge Holder,916,1186,2,0.2,0.4
GGOEGAAX0074, 22 oz Water Bottle,8942,15607,2,0.7,1.1
GGOEGHPB003410, Snapback Hat Black,230,105,3,0.1,0.3
GGOEGOAA017199,Rubber Grip Ballpoint Pen 4 Pack,1515,1791,3,0.1,0.3
GGOEGFKQ020399, Laptop and Cell Phone Stickers,1033,1516,3,0.4,0.7
GGOEGOAB021499,Metal Texture Roller Pen,390,775,3,0.9,1.4
GGOEYOCR077399, RFID Journal,935,433,3,0.0,0.1
GGOEGBJL013999, Canvas Tote Natural/Navy,551,602,3,0.0,0.2
GGOEGCKQ013199,1 oz Hand Sanitizer,381,679,3,0.5,1.1
GGOEGADJ059715, Men's Quilted Insulated Vest Battleship Grey,30,39,5,0.3,0.5
GGOEGALB036514, Women's Scoop Neck Tee Black,116,154,5,0.3,0.5
GGOEGAAX0081,Recycled Paper Journal Set,545,740,5,0.3,0.5
GGOEGAWH061350, Onesie Green,7,9,5,0.3,0.5
GGOENEBQ084699, Learning Thermostat 3rd Gen-USA - White,849,1142,5,0.3,0.5
GGOEAHPB076114,Android Stretch Fit Hat,6,8,5,0.3,0.5
GGOEGAAB058917, Men's Short Sleeve Performance Badge Tee Black,5,8,5,0.6,1.0
9182863, Toddler Sports T-shirt Red,0,0,5,0.6,1.0
GGOEYAAJ033017, Men's Long & Lean Tee Charcoal,12,20,5,0.6,1.0
9180811,Plastic Sliding Flashlight,0,0,5,0.6,1.0
GGOEGAAX0289, Women's Short Sleeve Hero Dark Grey,26,50,5,0.6,1.5
GGOEGAAX0362, Men's Pullover Hoodie Grey,25,33,5,0.5,1.5
GGOEGCBB074199, Car Clip Phone Holder,171,205,5,0.2,0.3
GGOEGALB036516, Women's Scoop Neck Tee Black,20,23,5,0.1,0.3
GGOEGOAR013599,Ballpoint Stylus Pen,769,942,5,0.2,0.3
GGOEAAAL081113,Android Men's Pep Rally Short Sleeve Tee Navy,6,7,5,0.1,0.3
GGOEGFSR022099, Kick Ball,15170,723,5,0.6,0.6
GGOEGAAL010617, Men's 100% Cotton Short Sleeve Hero Tee Navy,5,7,5,0.4,0.6
GGOEGAAX0279, Women's Short Sleeve Hero Tee White,21,41,5,0.1,0.6
9181572,Android Wool Heather Cap Heather/Black,0,0,5,0.8,1.2
GGOEGAEJ028913, Women's Short Sleeve Hero Dark Grey,3,5,5,0.8,1.2
GGOEGAAB033813, Men's Vintage Badge Tee Black,72,135,5,0.8,1.2
GGOEGHPJ080110, 5-Panel Cap,47,87,5,0.8,1.2
GGOEGOAQ018099,Pen Pencil & Highlighter Set,1067,1939,5,0.7,1.2
GGOEGAAX0213,Yoga Mat,29,54,5,0.0,1.2
GGOEGAYR068224, Youth Short Sleeve Tee Red,9,13,5,0.4,0.7
GGOEAAAH083316,Android Men's Paradise Short Sleeve Tee Olive,8,11,5,0.4,0.7
