"C00557504","ALLEN-REESE, POGO MOCHELLO","","5472","1368","4"
"C00573816","EVERSON, MARK","IND","45200","1329","34"
"C00573816","EVERSON, MARK","CAN","138680","13868","10"
"C00573519","CARSON, BENJAMIN S SR MD","IND","27688948","126","217748"
"C00574624","CRUZ, RAFAEL EDWARD ""TED""","IND","54006390","135","384376"
"C00569442","BROWN, HARLEY D","CAN","12632","383","28"
"C00395475","MESPLAY, KENT PHILIP","","2709","1355","2"
"C00567743","HILL, CHRISTOPHER V","","41155","20578","2"
"C00576629","DUCKWALD, WANDA GAYLE","","7000","1400","5"
"C00580159","JINDAL, BOBBY","IND","1286191","1681","765"
"C00500587","PERRY, JAMES R (RICK)","IND","1257366","1386","907"
"C00503763","SWANSON, KARIN LYNN","","68","23","3"
"C00575217","SHERMAN, JEFFERSON WOODSON","","3200","400","8"
"C00571653","SHO, MUHAMMAD","","1010","337","3"
"C00576785","EALY, LARRY ELLIS","","2130","710","3"
"C00506055","WELLS, ROBERT CARR JR","","13134","424","31"
"C00557504","ALLEN-REESE, POGO MOCHELLO","IND","11152","1014","11"
"C00562728","BOWERS, KERRY DALE","CAN","1861","60","31"
"C00579334","NEWLAND, K. ROSS","CAN","492","164","3"
"C00576967","ZUTLER, DANIEL PAUL MR","CAN","2500","1250","2"
"C00577916","WILSON, WILLIE","IND","24888","498","50"
"C00577809","DUNCAN, LARRY WELDON","","4732","153","31"
"C00503763","SWANSON, KARIN LYNN","IND","216","31","7"
"C00553206","BICKELMEYER, MICHAEL","","166","83","2"
"C00569400","CHRISTENSEN, DALE H","CAN","8562","1223","7"
"C00569400","CHRISTENSEN, DALE H","IND","212","71","3"
"C00581199","STEIN, JILL","IND","2719238","238","11425"
"C00577312","FIORINA, CARLY","IND","6577176","237","27589"
"C00575795","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","IND","292132031","116","2514936"
"C00573519","CARSON, BENJAMIN S SR MD","PAC","656","50","13"
"C00574624","CRUZ, RAFAEL EDWARD ""TED""","ORG","10128","482","17"
"C00575795","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","ORG","7177","205","35"
"C00575795","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","CAN","1450306","21974","66"
"C00579706","CHAFEE, LINCOLN DAVENPORT MR.","CAN","9118","118","76"
"C00579706","CHAFEE, LINCOLN DAVENPORT MR.","IND","24390","678","36"
"C00578492","SANTORUM, RICHARD J.","IND","1079061","633","1676"
"C00570192","QUARTEY, MARY AKU","","200","200","1"
"C00578757","GRAHAM, LINDSEY O","IND","4234989","969","4033"
"C00577130","SANDERS, BERNARD","IND","84358086","55","1531934"
"C00385153","SCHRINER, JOSEPH CHARLES","","2200","1100","2"
"C00578112","SCROGGIE, JEREMY","CCM","204","204","1"
"C00577312","FIORINA, CARLY","ORG","4550","1138","4"
"C00577130","SANDERS, BERNARD","ORG","6916","629","11"
"C00577130","SANDERS, BERNARD","PAC","34787","344","101"
"C00573519","CARSON, BENJAMIN S SR MD","ORG","6164","257","23"
"C00578757","GRAHAM, LINDSEY O","ORG","3700","1850","2"
"C00573816","EVERSON, MARK","ORG","2700","2700","1"
"C00581876","KASICH, JOHN R","IND","15137450","590","25671"
"C00586214","ROBINSON JR, JACK BURTON","","17013","1701","10"
"C00591396","KREML, WILLIAM P","IND","4775","434","11"
"C00577411","KELSO, LLOYD THOMAS","CCM","12649","1807","7"
"C00581876","KASICH, JOHN R","ORG","32920","3658","9"
"C00552836","STEINBERG, MICHAEL ALAN","CCM","6255","894","7"
"C00580399","CHRISTIE, CHRISTOPHER J","IND","8005485","1375","5726"
"C00580399","CHRISTIE, CHRISTOPHER J","ORG","5400","5400","1"
"C00586933","BASIAGO, ANDREW DANIEL","IND","5889","654","9"
"C00581215","WEBB, JAMES","IND","436036","582","749"
"C00579458","BUSH, JEB","IND","32549798","1359","22959"
"C00579458","BUSH, JEB","ORG","-10400","-1733","1"
"C00578658","O'MALLEY, MARTIN JOSEPH","IND","4023712","1028","3900"
"C00578658","O'MALLEY, MARTIN JOSEPH","ORG","8100","2700","3"
"C00574624","CRUZ, RAFAEL EDWARD ""TED""","PAC","285","143","2"
"C00578872","MANLEY, ELIJAH D","IND","5362","357","15"
"C00578872","MANLEY, ELIJAH D","CAN","1282","256","5"
"C00588541","KITTINGTON, VALMA","","5314","2657","2"
"C00578245","PATAKI, GEORGE E","IND","475110","1422","334"
"C00578245","PATAKI, GEORGE E","PAC","500","500","1"
"C00578245","PATAKI, GEORGE E","COM","1000","1000","1"
"C00581389","DREW, ARTHUR","","4449","2225","2"
"C00579458","BUSH, JEB","CAN","795698","15602","51"
"C00575449","PAUL, RAND","IND","5045895","164","30626"
"C00587642","MANELSKI, DEVON MARCUS","CAN","3025","1513","2"
"C00580480","WALKER, SCOTT","IND","5309202","757","6617"
"C00580480","WALKER, SCOTT","ORG","1500","750","2"
"C00588426","DE  LA  FUENTE, ROQUE ROCKY","IND","11946","996","12"
