store,name,address,city,zipcode,store_location,county_number
2593,Hy-vee Food Store/carroll,905 US HIGHWAY 30 WEST,CARROLL,51401,"905 US HIGHWAY 30 WEST
CARROLL 51401
(42.07083983900003, -94.876875266999946)",14
2612,Hy-vee Store / Perry,1215  141 ST,PERRY,50220,"1215 141 ST
PERRY 50220
(41.830259127000033, -94.104369448999989)",25
2595,Hy-vee Wine and Spirits / D,"1620  4TH AVE, SOUTH",DENISON,51442,"1620 4TH AVE, SOUTH
DENISON 51442
(42.012347709000039, -95.348700101999952)",24
2663,Hy-Vee / Urbandale,8701 DOUGLAS,URBANDALE,50322,"8701 DOUGLAS
URBANDALE 50322
(41.629370499000061, -93.739353576999974)",77
2626,Hy-vee Drugstore / University Des Mo,4100 UNIVERSITY AVE,DES MOINES,50311,"4100 UNIVERSITY AVE
DES MOINES 50311
(41.600322844000061, -93.67351049399997)",77
3565,Hartig Drug Store #10,701 MORMON TREK BLVD,IOWA CITY,52246,"701 MORMON TREK BLVD
IOWA CITY 52246
(41.651981942000077, -91.57408759599997)",52
2806,Osco #881 / Clinton,1307 N SECOND,CLINTON,52732,"1307 N SECOND
CLINTON 52732
(41.858709010000041, -90.184835924999959)",23
2953,Dahl's / E. Euclid,1320 E. EUCLID,DES MOINES,50316,"1320 E. EUCLID
DES MOINES 50316
(41.627737933000049, -93.603330769999957)",77
2955,Dahl's / Beaver,1819 BEAVER,DES MOINES,50310,"1819 BEAVER
DES MOINES 50310
(41.61084087200004, -93.672945875999972)",77
3440,Hawkeye Pantry,501 LOCUST ST,DES MOINES,50309,"501 LOCUST ST
DES MOINES 50309
(41.587103703000025, -93.62381460499995)",77
3451,Barnes Foodland,622 10TH ST,DEWITT,52742,"622 10TH ST
DEWITT 52742
(41.825207591000037, -90.539408655999978)",23
3456,Quick Shop/clear Lake,904 N 8TH ST,CLEAR LAKE,50428,"904 N 8TH ST
CLEAR LAKE 50428
(43.142829505000066, -93.378762566999967)",17
3647,Wal-Mart 2889 / Clinton,2715 SOUTH 25TH ST,CLINTON,52732,"2715 SOUTH 25TH ST
CLINTON 52732
(41.817266053000026, -90.244354939999937)",23
3666,Target Store T-1771 / Cedar Rapids,3400 EDGEWOOD RD SW,CEDAR RAPIDS,52404,"3400 EDGEWOOD RD SW
CEDAR RAPIDS 52404
(41.943470064000053, -91.716047562999961)",57
3831,The Market Of Madrid,301 ANNEX RD,MADRID,50156,"301 ANNEX RD
MADRID 50156
(41.879240723000066, -93.815324121999936)",8
3909,D And S Grocery,104 SE  A ST,MELCHER-DALLAS,50163,"104 SE A ST
MELCHER-DALLAS 50163
(41.222427248000031, -93.241676946999974)",63
4077,Xo Food And Liquor,428 FRANKLIN ST,WATERLOO,50703,"428 FRANKLIN ST
WATERLOO 50703
(42.501514385000064, -92.334586679999973)",7
3995,Barmuda Distribution,900 TECHNOLOGY PKWY STE 100,CEDAR FALLS,50613,"900 TECHNOLOGY PKWY STE 100
CEDAR FALLS 50613
(42.473391795000055, -92.456500400999971)",7
4014,Wal-Mart 1732 / Denison,510 C AVE,DENISON,51442,"510 C AVE
DENISON 51442
(42.109809594000069, -95.454844125999955)",24
4075,Ali's West Side Liquor,919 W 5TH ST,WATERLOO,50701,"919 W 5TH ST
WATERLOO 50701
(42.488768244000028, -92.34593138799994)",7
4085,Save More Foods / Waterloo,1975 FRANKLIN ST,WATERLOO,50703,"1975 FRANKLIN ST
WATERLOO 50703
(42.495416510000041, -92.315540613999985)",7
4126,Sam's Mainstreet Market / Solon,123 E MAIN ST,SOLON,52333,"123 E MAIN ST
SOLON 52333
(41.807163191000029, -91.494860154999969)",52
4103,Fareway Stores #093 / Ames,3619 STANGE RD,AMES,50010,"3619 STANGE RD
AMES 50010
(42.05737657800006, -93.645232345999943)",85
4139,University Groceries,2121 UNIVERSITY AVE,DES MOINES,50314,"2121 UNIVERSITY AVE
DES MOINES 50314
(41.600443430000041, -93.64571379299997)",77
4149,Fareway Stores #015 / Denison,609 ARROWHEAD DR,DENISON,51442,"609 ARROWHEAD DR
DENISON 51442
(42.024307402000034, -95.372080463999964)",24
4186,H and A Mini Mart/phillips,5901 FLEUR DR,DES MOINES,50321,"5901 FLEUR DR
DES MOINES 50321
(41.531190544000026, -93.644923534999975)",77
4269,Tipton Family Foods,610 CEDAR ST,TIPTON,52772,"610 CEDAR ST
TIPTON 52772
(41.771651018000057, -91.12837346699996)",16
4301,Sahota Food Mart,1805 SE 14TH ST,DES MOINES,50320,"1805 SE 14TH ST
DES MOINES 50320
(41.571861483000077, -93.596873382999945)",77
4409,Kum & Go #90 / BOONE,1704 S STORY ST,BOONE,50036,"1704 S STORY ST
BOONE 50036
(42.036731145000033, -93.879643340999962)",8
4448,Kum & Go #572 / URBANDALE,4860 NW URBANDALE DR,URBANDALE,50322,"4860 NW URBANDALE DR
URBANDALE 50322
(41.646586153000044, -93.771009565999975)",77
4534,D & B Foods,141 W GILLET ST,PRESTON,52069,"141 W GILLET ST
PRESTON 52069
(42.050293345000057, -90.395596128999955)",49
4595,Quik Trip #559 / Fleur Dr DM,4024 FLEUR DR,DES MOINES,50321,"4024 FLEUR DR
DES MOINES 50321
(41.547160018000056, -93.645106747999989)",77
4647,B and B EAST/Waterloo,1615 BISHOP AVE,WATERLOO,50707,"1615 BISHOP AVE
WATERLOO 50707
(42.498081738000053, -92.293117209999991)",7
4601,Kum & Go #4110 / Guthrie DM,2110 GUTHRIE AVE,DES MOINES,50317,"2110 GUTHRIE AVE
DES MOINES 50317
(41.615047853000078, -93.579130547999966)",77
4637,Kwik Shop #560 / Cedar Rapids,3301 J ST,CEDAR RAPIDS,52404,"3301 J ST
CEDAR RAPIDS 52404
(41.944662675000075, -91.666793276999954)",57
4617,Lickety Liquor,2501 HUBBELL AVE,DES MOINES,50317,"2501 HUBBELL AVE
DES MOINES 50317
(41.607763127000055, -93.570461931999944)",77
4729,No Frills Supermarkets #790 / Deniso,501 HIGHWAY 39 NORTH,DENISON,51442,"501 HIGHWAY 39 NORTH
DENISON 51442
(42.021971363000034, -95.368527330999939)",24
4795,Walgreens #00359 / Des Moines,2545 E EUCLID AVE,DES MOINES,50317,"2545 E EUCLID AVE
DES MOINES 50317
(41.627722953000045, -93.568680503999985)",77
4801,Walgreens #05852 / Des Moines,3030 UNIVERSITY AVE,DES MOINES,50311,"3030 UNIVERSITY AVE
DES MOINES 50311
(41.600343585000076, -93.659150757999953)",77
4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,"1501 MICHIGAN AVE
DES MOINES 50314
(41.605830751000042, -93.613754311999969)",77
4840,Independence Ave Liquor & Food / Wat,1761 INDEPENDENCE AVE,WATERLOO,50707,"1761 INDEPENDENCE AVE
WATERLOO 50707
(42.498436641000069, -92.302510610999946)",7
4864,CLINTON LIQUOR & CONVENIENCE STORE,1641 S BLUFF BLVD,CLINTON,52733,"1641 S BLUFF BLVD
CLINTON 52733
(41.83318074500005, -90.225489904999961)",23
4928,Shop n Save / 6th Ave,1829 6TH AVE,DES MOINES,50314,"1829 6TH AVE
DES MOINES 50314
(41.611071329000026, -93.625773762999984)",77
4971,Fareway Stores #138 / Pleasant Hill,"5500, E UNIVERSITY AVE",PLEASANT HILL,50327,"5500, E UNIVERSITY AVE
PLEASANT HILL 50327
(41.59908699500005, -93.50671942699995)",77
4935,Ali's Liquor,1117 E 4TH ST,WATERLOO,50703,"1117 E 4TH ST
WATERLOO 50703
(42.507766149000076, -92.332784157999981)",7
2285,John's Grocery,401 EAST MARKET ST,IOWA CITY,52240,"401 EAST MARKET ST
IOWA CITY 52240
(41.663580847000048, -91.530031378999979)",52
2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8
3943,Good and Quick Co,519 LINCOLNWAY,NEVADA,50201,"519 LINCOLNWAY
NEVADA 50201
(42.021167099000024, -93.448099670999966)",85
4004,Wal-Mart 4256 / Ames,534 S DUFF AVE,AMES,50010,"534 S DUFF AVE
AMES 50010
(42.01591056500007, -93.610303227999964)",85
3932,Main Street Spirits / Mapleton,311 MAIN ST,MAPLETON,51034,"311 MAIN ST
MAPLETON 51034
(42.165916916000072, -95.793780474999949)",67
4062,H and A Mini Mart Corp,145 UNIVERSITY AVE,DES MOINES,50314,"145 UNIVERSITY AVE
DES MOINES 50314
(41.600427701000058, -93.619340573999978)",77
4034,Spice-n-ice,123 N LAWLER ST,POSTVILLE,52162,"123 N LAWLER ST
POSTVILLE 52162
(43.086109585000031, -91.568313511999975)",3
4027,Wal-Mart 1621 / Centerville,23148 HWY 5,CENTERVILLE,52544,"23148 HWY 5
CENTERVILLE 52544
(40.708576749000031, -92.867792513999973)",4
4072,Famous Liquors,2604 W LOCUST ST,DAVENPORT,52804,"2604 W LOCUST ST
DAVENPORT 52804
(41.538218311000037, -90.615260069999977)",82
4069,Fareway Stores #648 / Ottumwa,1325 ALBIA RD,OTTUMWA,52501,"1325 ALBIA RD
OTTUMWA 52501
(41.009357831000045, -92.440293556999961)",90
4097,Schleswig Foods And Spirits,108  2ND ST,SCHLESWIG,51461,"108 2ND ST
SCHLESWIG 51461
(42.165969921000055, -95.436633030999985)",24
4106,Hartig Drug Co. / Jfk Rd,2255 JOHN F KENNEDY RD,DUBUQUE,52002,"2255 JOHN F KENNEDY RD
DUBUQUE 52002
(42.511455140000066, -90.720519897999964)",31
4105,Fareway Stores #426 / Nevada,1505 SOUTH B AVE,NEVADA,50201,"1505 SOUTH B AVE
NEVADA 50201
(42.009818451000058, -93.439380656999958)",85
