date,cstore,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor,item,description,pack,liter_size,state_btl_cost,btl_price,bottle_qty,total
2014-01-09,,2571,Hy-vee Food Store #2/wate,2181 LOGAN AVE,WATERLOO,50703,"2181 LOGAN AVE
WATERLOO 50703
(42.530359456000042, -92.337597591999952)",7,Black Hawk,1031080,80 PROOF VODKA,297,Laird And Company,35917,Five O'clock Vodka,12,1000,4.17,6.25,24,150
2014-01-09,,2571,Hy-vee Food Store #2/wate,2181 LOGAN AVE,WATERLOO,50703,"2181 LOGAN AVE
WATERLOO 50703
(42.530359456000042, -92.337597591999952)",7,Black Hawk,1041150,FLAVORED GIN,370,Pernod Ricard USA/Austin Nichols,33256,Seagrams Lime Twisted Gin,12,750,6.49,9.74,24,233.76
2014-01-09,,2571,Hy-vee Food Store #2/wate,2181 LOGAN AVE,WATERLOO,50703,"2181 LOGAN AVE
WATERLOO 50703
(42.530359456000042, -92.337597591999952)",7,Black Hawk,1032200,IMPORTED VODKA - MISC,492,Western Spirits Beverage Co. LLC,33802,Kuhl Hippie Hooch Love Punch,12,750,6.56,9.84,1,9.84
2014-01-09,,2571,Hy-vee Food Store #2/wate,2181 LOGAN AVE,WATERLOO,50703,"2181 LOGAN AVE
WATERLOO 50703
(42.530359456000042, -92.337597591999952)",7,Black Hawk,1031200,FLAVORED VODKA,260,Diageo Americas,41796,Smirnoff Raspberry Vodka,12,750,8.25,12.37,2,24.74
2014-01-09,,2571,Hy-vee Food Store #2/wate,2181 LOGAN AVE,WATERLOO,50703,"2181 LOGAN AVE
WATERLOO 50703
(42.530359456000042, -92.337597591999952)",7,Black Hawk,1031080,80 PROOF VODKA,260,Diageo Americas,37996,Smirnoff Vodka 80 Prf,12,750,8.25,12.37,12,148.44
2014-01-09,,2571,Hy-vee Food Store #2/wate,2181 LOGAN AVE,WATERLOO,50703,"2181 LOGAN AVE
WATERLOO 50703
(42.530359456000042, -92.337597591999952)",7,Black Hawk,1031080,80 PROOF VODKA,421,"Sazerac Co., Inc.",36978,Nikolai Vodka,6,1750,6.92,10.38,12,124.56
2014-01-09,,2571,Hy-vee Food Store #2/wate,2181 LOGAN AVE,WATERLOO,50703,"2181 LOGAN AVE
WATERLOO 50703
(42.530359456000042, -92.337597591999952)",7,Black Hawk,1062050,BARBADOS RUM,305,MHW Ltd,42240,Blue Chair Bay White,12,750,9.42,14.13,2,28.26
2014-01-09,,2571,Hy-vee Food Store #2/wate,2181 LOGAN AVE,WATERLOO,50703,"2181 LOGAN AVE
WATERLOO 50703
(42.530359456000042, -92.337597591999952)",7,Black Hawk,1031200,FLAVORED VODKA,260,Diageo Americas,41746,Smirnoff Citrus Vodka,12,750,8.25,12.37,2,24.74
2014-01-09,,2571,Hy-vee Food Store #2/wate,2181 LOGAN AVE,WATERLOO,50703,"2181 LOGAN AVE
WATERLOO 50703
(42.530359456000042, -92.337597591999952)",7,Black Hawk,1031200,FLAVORED VODKA,380,Phillips Beverage Company,41705,Uv Red (cherry) Vodka,12,1000,7.5,11.25,3,33.75
2014-01-09,,2571,Hy-vee Food Store #2/wate,2181 LOGAN AVE,WATERLOO,50703,"2181 LOGAN AVE
WATERLOO 50703
(42.530359456000042, -92.337597591999952)",7,Black Hawk,1051010,AMERICAN GRAPE BRANDIES,115,"Constellation Wine Company, Inc.",53216,Paul Masson Grande Amber Brandy,12,750,6.3,9.45,12,113.4
