county,cstore_percentage
Adair,38.7
Appanoose,9.3
Audubon,22.6
Benton,5.2
Black Hawk,9.0
Boone,11.7
Bremer,13.8
Buchanan,12.0
Buena Vista,9.8
Butler,13.5
Calhoun,41.9
Carroll,3.5
Cass,1.7
Cedar,27.2
Cerro Gordo,4.2
Cherokee,1.5
Clarke,8.5
Clay,3.0
Clayton,28.9
Clinton,3.9
Crawford,10.9
Dallas,7.4
Decatur,203.8
Des Moines,19.7
Dickinson,6.5
Dubuque,3.2
Emmet,17.8
Fayette,9.5
Floyd,14.0
Franklin,13.1
Greene,28.0
Grundy,106.6
Guthrie,44.4
Hamilton,24.1
Hancock,208.2
Hardin,8.4
Henry,7.6
Humboldt,6.3
Iowa,2.9
Jackson,6.5
Jasper,11.0
Jefferson,13.8
Johnson,15.5
Lee,7.2
Linn,6.9
Louisa,10.8
Lucas,9.7
Lyon,42.6
Madison,34.1
Mahaska,4.4
Marion,0.7
Marshall,4.2
Mills,27.5
Mitchell,6.1
Monona,5.5
Monroe,0.8
Montgomery,3.2
Muscatine,4.5
O'Brien,21.9
Osceola,28.2
Page,1.6
Palo Alto,4.6
Plymouth,8.1
Pocahontas,11.3
Polk,6.1
Pottawattamie,8.6
Poweshiek,5.4
Ringgold,8.2
Sac,7.1
Scott,5.8
Shelby,3.9
Sioux,6.4
Story,9.5
Tama,3.9
Union,10.2
Van Buren,18.0
Wapello,1.3
Warren,22.3
Washington,11.9
Wayne,5.5
Webster,2.8
Winnebago,19.1
Winneshiek,8.3
Woodbury,13.9
Wright,41.7
